EMPRESA,Nombre_Especie,estacion,Unidad,Tipo_eq,Sigla,ano,Mes,Fecha,Cod_Sip,Predio,cod_emsefor,Emsefor,Dens,M3_Arb,M3_HA,T_EFEC,T_PERD,dias_trab,N__Trab,H_H_efectivas,Vol_NOC,Volumen_H_H,Superficie_Total,Coor_X,Coor_Y,dia,otono,invierno,primavera,verano,season,inclinacion
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,6,2010-06-15,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,5.0,3.0,9.0,4.0,4.47213595499958,24.0,1.2,,654790.172677714,5866971.53547617,15,1,0,0,0,otono,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,6,2010-06-17,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,6.0,2.0,9.0,4.0,4.898979485566356,58.0,2.4166666667,,654790.172677714,5866971.53547617,17,1,0,0,0,otono,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,6,2010-06-19,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,6.0,0.0,9.0,4.0,4.898979485566356,33.0,1.375,,654790.172677714,5866971.53547617,19,1,0,0,0,otono,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,6,2010-06-21,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,6.0,2.0,9.0,4.0,4.898979485566356,34.0,1.4166666666999999,,654790.172677714,5866971.53547617,21,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,6,2010-06-24,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,8.0,0.0,9.0,4.0,5.656854249492381,52.0,1.625,,654790.172677714,5866971.53547617,24,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,6,2010-06-26,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,8.0,2.0,9.0,4.0,5.656854249492381,29.0,0.90625,,654790.172677714,5866971.53547617,26,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,7,2010-07-24,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,5.0,0.0,5.0,4.4,4.69041575982343,65.0,2.9545454545,,654790.172677714,5866971.53547617,24,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,6,2010-06-14,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.067888030486971,0.5291502622129182,16.084023751574104,5.0,3.0,9.0,4.0,4.47213595499958,15.0,0.75,,654790.172677714,5866971.53547617,14,1,0,0,0,otono,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,6,2010-06-29,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.067888030486971,0.5291502622129182,16.084023751574104,8.0,0.0,9.0,4.0,5.656854249492381,64.0,2.0,,654790.172677714,5866971.53547617,29,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,6,2010-06-30,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.067888030486971,0.5291502622129182,16.084023751574104,6.0,2.0,9.0,4.0,4.898979485566356,78.0,3.25,,654790.172677714,5866971.53547617,30,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,7,2010-07-13,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.067888030486971,0.5291502622129182,16.084023751574104,7.0,1.0,5.0,4.4,5.549774770204643,72.0,2.3376623377000003,,654790.172677714,5866971.53547617,13,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,7,2010-07-19,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.067888030486971,0.5291502622129182,16.084023751574104,7.0,1.0,5.0,4.4,5.549774770204643,70.0,2.2727272727,,654790.172677714,5866971.53547617,19,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,7,2010-07-14,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.067888030486971,0.5291502622129182,16.084023751574104,8.0,1.0,5.0,4.4,5.932958789676531,78.0,2.2159090909,,654790.172677714,5866971.53547617,14,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS41,2010,7,2010-07-15,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.067888030486971,0.5291502622129182,16.084023751574104,5.0,3.0,5.0,4.4,4.69041575982343,50.0,2.2727272727,,654790.172677714,5866971.53547617,15,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS42,2010,6,2010-06-21,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,8.0,8.0,7.0,4.3333333333,5.887840577554729,15.0,0.43269230770000006,,654790.172677714,5866971.53547617,21,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS42,2010,6,2010-06-18,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,8.0,1.0,7.0,4.3333333333,5.887840577554729,48.0,1.3846153846,,654790.172677714,5866971.53547617,18,1,0,0,0,otono,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS42,2010,6,2010-06-26,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,7.0,1.0,7.0,4.3333333333,5.507570547283076,126.0,4.1538461538,,654790.172677714,5866971.53547617,26,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS42,2010,6,2010-06-16,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,4.0,4.0,7.0,4.3333333333,4.163331998928262,22.0,1.2692307692,,654790.172677714,5866971.53547617,16,1,0,0,0,otono,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS42,2010,6,2010-06-19,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,2.0,4.0,7.0,4.3333333333,2.94392028878161,88.0,10.1538461538,,654790.172677714,5866971.53547617,19,1,0,0,0,otono,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS42,2010,6,2010-06-14,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.067888030486971,0.5291502622129182,16.084023751574104,3.0,5.0,7.0,4.3333333333,3.605551275463989,10.0,0.7692307692,,654790.172677714,5866971.53547617,14,1,0,0,0,otono,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS42,2010,6,2010-06-29,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.067888030486971,0.5291502622129182,16.084023751574104,8.0,0.0,7.0,4.3333333333,5.887840577554729,66.0,1.9038461538,,654790.172677714,5866971.53547617,29,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS43,2010,6,2010-06-14,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,5.0,3.0,8.0,4.625,4.808846015417836,10.0,0.4324324324,,654790.172677714,5866971.53547617,14,1,0,0,0,otono,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS43,2010,6,2010-06-25,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,5.0,3.0,8.0,4.625,4.808846015417836,62.0,2.6810810811000003,,654790.172677714,5866971.53547617,25,0,1,0,0,invierno,0
BASA,EUCA GLOBULUS,invierno,Raleo,Skidder Huinche,FS43,2010,6,2010-06-19,21378,MAQUEHUA 2,4570,AGRICOLA Y FORESTAL DEL SUR LTDA.,7.075504706146356,0.5291502622129182,16.076219110291447,2.0,4.0,8.0,4.625,3.0413812651491097,96.0,10.3783783784,,654790.172677714,5866971.53547617,19,1,0,0,0,otono,0
